surveyTargetID,surveyID,surveyTargetType,surveyTargetValue,includeOrExclude,isSurveyTargetFullyReported
P309.1B_taxon,P309.1B,taxon,Insecta,include,True
P39.1A_taxon,P39.1A,taxon,Insecta,include,True
P39.1B_taxon,P39.1B,taxon,Insecta,include,True
P39.2A_taxon,P39.2A,taxon,Insecta,include,True
P39.2B_taxon,P39.2B,taxon,Insecta,include,True
P299.1A_taxon,P299.1A,taxon,Insecta,include,True
P299.1B_taxon,P299.1B,taxon,Insecta,include,True
P40.1A_taxon,P40.1A,taxon,Insecta,include,True
P40.1B_taxon,P40.1B,taxon,Insecta,include,True
P299.2A_taxon,P299.2A,taxon,Insecta,include,True
P299.2B_taxon,P299.2B,taxon,Insecta,include,True
P40.2A_taxon,P40.2A,taxon,Insecta,include,True
P40.2B_taxon,P40.2B,taxon,Insecta,include,True
P288.1A_taxon,P288.1A,taxon,Insecta,include,True
P288.1B_taxon,P288.1B,taxon,Insecta,include,True
P41.1A_taxon,P41.1A,taxon,Insecta,include,True
P41.1B_taxon,P41.1B,taxon,Insecta,include,True
P41.2A_taxon,P41.2A,taxon,Insecta,include,True
P41.2B_taxon,P41.2B,taxon,Insecta,include,True
P42.1A_taxon,P42.1A,taxon,Insecta,include,True
P42.1B_taxon,P42.1B,taxon,Insecta,include,True
P212.1A_taxon,P212.1A,taxon,Insecta,include,True
P212.1B_taxon,P212.1B,taxon,Insecta,include,True
P42.2A_taxon,P42.2A,taxon,Insecta,include,True
P42.2B_taxon,P42.2B,taxon,Insecta,include,True
P291.1A_taxon,P291.1A,taxon,Insecta,include,True
P291.1B_taxon,P291.1B,taxon,Insecta,include,True
P43.1A_taxon,P43.1A,taxon,Insecta,include,True
P43.1B_taxon,P43.1B,taxon,Insecta,include,True
P291.2A_taxon,P291.2A,taxon,Insecta,include,True
P291.2B_taxon,P291.2B,taxon,Insecta,include,True
P43.2A_taxon,P43.2A,taxon,Insecta,include,True
P43.2B_taxon,P43.2B,taxon,Insecta,include,True
P44.1A_taxon,P44.1A,taxon,Insecta,include,True
P44.1B_taxon,P44.1B,taxon,Insecta,include,True
P44.2A_taxon,P44.2A,taxon,Insecta,include,True
P44.2B_taxon,P44.2B,taxon,Insecta,include,True
P45.1A_taxon,P45.1A,taxon,Insecta,include,True
P45.1B_taxon,P45.1B,taxon,Insecta,include,True
P46.1A_taxon,P46.1A,taxon,Insecta,include,True
P46.1B_taxon,P46.1B,taxon,Insecta,include,True
P46.2A_taxon,P46.2A,taxon,Insecta,include,True
P46.2B_taxon,P46.2B,taxon,Insecta,include,True
P47.1A_taxon,P47.1A,taxon,Insecta,include,True
P47.1B_taxon,P47.1B,taxon,Insecta,include,True
P47.2A_taxon,P47.2A,taxon,Insecta,include,True
P47.2B_taxon,P47.2B,taxon,Insecta,include,True
P203.1A_taxon,P203.1A,taxon,Insecta,include,True
P203.1B_taxon,P203.1B,taxon,Insecta,include,True
P48.1A_taxon,P48.1A,taxon,Insecta,include,True
